title,sale_start_time,sale_end_time,release_date
"【天津】
关于2025-2026年滨海分公司大港油田小区合作光纤、机架租赁合同项目单一来源公示",2025-07-25,2025-07-29,2025-07-25
"【天津】
宝坻玺悦峰室分用电协议",2025-07-25,2025-07-29,2025-07-25
"【天津】
天津地铁控制中心一期 OMC\ETC 标段硬件设备及虚拟机硬件设备维护服务采购项目",2025-07-28,2025-07-30,2025-07-25
"【天津】
中国电信天津分公司2025年计费智能运营平台建设工程结果公示",,,2025-07-25
"【天津】
中国电信2025年天津分公司综合告警系统研发工程结果公示",,,2025-07-24
"【天津】
静海电信分公司2025年开发区机房租赁项目",2025-07-25,2025-07-29,2025-07-24
"【天津】
2025-2027年中国电信租赁空港经济区环河北路、中环东路、环河东路等路由（6孔公里）通信管道合同",2025-07-25,2025-07-29,2025-07-24
"【天津】
中国电信天津分公司2025年SAOP灰度能力扩容工程结果公示",,,2025-07-24
"【天津】
关于滨海分公司天鸿公寓房屋租出合同（2025-2027）",2025-07-25,2025-07-29,2025-07-24
"【天津】
2025年度“国网CDN加速服务”DICT项目",2025-07-24,2025-07-28,2025-07-24
"【天津】
中国电信天津分公司2025年X私有云建设工程云资源设施DICT采购项目询比结果公示",,,2025-07-23
"【天津】
中国电信2025年天津分公司智能运维平台升级研发工程结果公示",,,2025-07-23
"【天津】
中国电信天津分公司2025年卫星通讯海洋领域应用研究购置项目询比公告",2025-07-24,2025-07-28,2025-07-23
"【天津】
汇城广场固网机房房屋租赁及用电续签项目单一来源采购公示",2025-07-23,2025-07-25,2025-07-22
"【天津】
北辰心泽园用电协议项目直接采购公示",2025-07-23,2025-07-25,2025-07-22
"【天津】
中国电信天津分公司2025年能耗管理系统集团报账能力提升工程结果公示",,,2025-07-22
"【天津】
中国电信天津分公司2025年现场综合化维护项目直接采购公示",2025-07-23,2025-07-25,2025-07-22
"【天津】
2025-2028年空港商务园东区室分用电协议书",2025-07-21,2025-07-23,2025-07-22
"【天津】
天津电信东丽分公司2025年度“网上国网”DICT 项目（第二厂家备份）直接采购公示",2025-07-22,2025-07-24,2025-07-21
"【天津】
宝坻紫庭名苑室内分布覆盖系统用电协议",2025-07-22,2025-07-24,2025-07-21
"【天津】
中国电信津南区北营路营业厅房屋租赁2025续约采购项目单一来源公示",2025-07-22,2025-07-24,2025-07-21
"【天津】
中国电信东丽分公司2025年某集团MSTP电路接入工程采购项目询比结果公示",,,2025-07-18
"【天津】
中国电信天津分公司2025年计费智能运营平台建设工程成交候选人公示",2025-07-19,2025-07-21,2025-07-18
"【天津】
宝坻赋裕隆家居装饰城室内分布用电协议",2025-07-18,2025-07-22,2025-07-18
"【天津】
中国电信2025年天津分公司综合告警系统研发工程成交候选人公示",2025-07-18,2025-07-21,2025-07-17
"【天津】
中国电信天津分公司2025年业务平台综合网管升级工程成交候选人公示",2025-07-17,2025-07-21,2025-07-16
"【天津】
2025年渤海银行天津分行电话系统维保服务采购项目",2025-07-17,2025-07-21,2025-07-16
"【天津】
中国电信河东河西分公司某银行天津市分行业务网DICT工程直接采购公示",2025-07-17,2025-07-21,2025-07-16
"【天津】
天津电信2025-2026年度通信局站在用防雷系统检测技术服务项目询比公告",2025-07-17,2025-07-21,2025-07-16
"【天津】
网信大厦24层退租相关事宜直接采购公示",2025-07-16,2025-07-19,2025-07-16
"【天津】
中国电信天津分公司2024年网络安全评估技术评测项目 成交候选人公示",2025-07-16,2025-07-18,2025-07-15
"【天津】
2025年至2030年中国电信蓟州分公司蓟县万豪酒店室分用电服务合同项目单一来源采购公示",2025-07-15,2025-07-17,2025-07-14
"【天津】
中国电信天津分公司2024年网络安全评估技术评测项目成交候选人公示",2025-07-15,2025-07-17,2025-07-14
"【天津】
2025-2028年宁河分公司宁河微淼财商科技室内分布系统覆盖用电项目的直接采购公示",2025-07-14,2025-07-16,2025-07-11
"【天津】
2025年河东河西分公司青林大厦营业厅消防改造合同",2025-07-14,2025-07-16,2025-07-11
"【天津】
[2025年-2028年河东河西分公司河西华义公寓室分用电协议]项目单一来源采购公示",2025-07-14,2025-07-16,2025-07-11
"【天津】
中国电信天津分公司2025年计费智能运营平台建设工程询比公告",2025-07-10,2025-07-14,2025-07-10
"【天津】
[河东河西分公司河东华富大厦室分用电协议（续签2025-2028）]项目单一来源采购公示",2025-07-14,2025-07-16,2025-07-10
"【天津】
关于2026-2028年滨海分公司大港南港六街机房房屋租赁合同项目单一来源的公示",2025-07-10,2025-07-14,2025-07-09
"【天津】
中国电信2025年天津分公司综合告警系统研发工程询比公告",2025-07-09,2025-07-14,2025-07-09
"【天津】
静海分公司2025年静海招商依云郡室内分布覆盖用电项目单一来源采购公示",2025-07-10,2025-07-14,2025-07-09
